paragraph,tag
Owing to bad weather the match was cancelled.,cause and effect
Because of bad weather the match was cancelled. ,cause and effect
We had to cancel the match because of bad weather.,cause and effect
I was late owing to the fact that the train broke down.,cause and effect
"She had no other options consequently,  she married at thirteen.  ",cause and effect
"She was not protected as a result,  she had a baby at thirteen.",cause and effect
"She had no access to health education or medical clinics. Therefore, she was more likely to get HIV. ",cause and effect
"There was poor sanitation in the village as a consequence,  she had health.",cause and effect
"The water was impure in her village for this reason, she suffered from parasites. ",cause and effect
"She had no shoes, warm clothes or blankets. For all these reason, she was often cold. ",cause and effect
"She had no resources to grow food. Thus, she was hungry.",cause and effect
"She had not been given a chance, so she was fighting for survival. ",cause and effect
She married at thirteen because she had no other options. ,cause and effect
She had a baby at thirteen as she was not protected. ,cause and effect
She was more likely to get HIV since she had no access to health education or clinics. ,cause and effect
She had health problems because of  poor sanitation in the village. ,cause and effect
She suffered from parasites on account of the impure water in her village.,cause and effect
"She was often cold due to not having shoes, warm clothes or blankets.",cause and effect
She was hungry for the reason that  she had no resources to grow food.,cause and effect
She was fighting for survival since she had not been given a chance.  ,cause and effect
The main cause of crop failure was the lack of rain.,cause and effect
The cause of crop failure was the lack of rain.,cause and effect
The reason crops failed was because of² the lack of rain.,cause and effect
The reason that we're leaving is the late hour.,cause and effect
"Because of the drought, crops failed.",cause and effect
The flat tire caused the car to wreck.,cause and effect
The snowstorm had an effect on his mood.,cause and effect
"Due to John's laziness, he did not pass the English test.",cause and effect
He failed the test because of his bad study habits.,cause and effect
"As a result of the rain, we canceled the picnic.",cause and effect
 David could not attend owing to his illness.,cause and effect
 He was fired as a consequence of tardiness.,cause and effect
" Because John was lazy, he did not pass the English test.",cause and effect
 He failed the test because he did not study well.,cause and effect
 The picnic was canceled since the rain was coming.,cause and effect
 David could not attend for he was ill.,cause and effect
"As he arrived late to work, he will be fired.",cause and effect
"As a result of this mishap, he was not on work for a week. ",cause and effect
"David twisted his arms and, as a result, he won’t be taking part in the basketball tournament. ",cause and effect
Tom died as a result of an accident.,cause and effect
Several houses were shattered as a result of the heavy storm. ,cause and effect
"Jackson misbehaved with his boss; as a result, he lost the job. ",cause and effect
"He took too many loans and as a result, he went bankrupt. ",cause and effect
Many local citizens died as a result of a bomb blast. ,cause and effect
Lots of fishes and other sea creatures had died as a result of the crude oil spilling.,cause and effect
Ruben lost his sight due to a measles infection.,cause and effect
The strength of this structure is due to reinforced concrete.,cause and effect
Our unit suffered terrible losses due to friendly fire.,cause and effect
We had a water supply break last summer due to drought.,cause and effect
The event is off due to a scheduling error.,cause and effect
He was unable to walk for a period of four months due to the injury.,cause and effect
The wind is due to a storm that is approaching.,cause and effect
This situation is due to a lack of information.,cause and effect
The flight was canceled due to bad weather.,cause and effect
There is a high risk of avalanches due to the snowfall.,cause and effect
Officials decided to release the prisoner due to lack of evidence against him.,cause and effect
"Due to his recent chain of criminal charges, he was not offered the job.",cause and effect
They fired the maid due to her lack of punctuality.,cause and effect
He prefers German cars due to their reliability.,cause and effect
My manager offered me a rise due to my high productivity.,cause and effect
"Due to the changing face of Europe, the treaty could not be signed.",cause and effect
"Several of us arrived late, due to the traffic.",cause and effect
"In part, this was due to the decline in the former East Germany.",cause and effect
There was a rise in the river's water level due to heavy rains.,cause and effect
"Several of us arrived late, due to the traffic.",cause and effect
 My car broke down and consequently I was late.,cause and effect
She failed her exams and was consequently unable to start her studies at college.,cause and effect
 I spent most of my money in the first week and consequently had very little to eat by the end of the holiday.,cause and effect
These plants have really shot up due to the rain.,cause and effect
We can't go to the party due to a prior commitment.,cause and effect
She left work early in order to be at home with the children.,problem and solution
He got up early in order to catch the plane.,problem and solution
Change the laws to make it more difficult for couples to divorce in order to  reduce the divorce rate. ,problem and solution
I'm studying very hard at the moment  in order to pass my exams next month. ,problem and solution
I bought a dictionary  in order to help with my vocabulary. ,problem and solution
I went to bed early  so I wouldn't be tired in the morning.,problem and solution
One of the solution to reduce the level of carbon dioxide in the atmosphere is to use renewable energy to fuel your home and vehicles.,problem and solution
 one of the best way to get out of a bad relationship is to break up.,problem and solution
One of the solution to reduce windows error is to disable error reporting by making changes to the registry.,problem and solution
One of the solution to reduce the level of carbon dioxide in the atmosphere is to make recycling within local communities mandatory.,problem and solution
One of the solution to cyberbullying is to talk with parents about it.,problem and solution
"In order to ensure food safety, the whole food chain must be flawless and its supervision comprehensive.",problem and solution
"In order to achieve this, we need a budget.",problem and solution
The Union must start negotiations with third countries in order to ensure the necessary diplomatic protection.,problem and solution
We are taking concrete steps in order to safeguard financial stability and the euro in Europe.,problem and solution
We also need to reform our trade policy in order to increase mutual exchange in this area.,problem and solution
The practice of adding water to food in order to cheat the consumer is despicable.,problem and solution
The real major need is for drinking water in order to prevent epidemics.,problem and solution
Canada has continued to work within this agency to promote a multilateral solution to the problems of narcotrafficking and narcoterrorism.,problem and solution
Many countries have looked into Internet voting as a possible solution for low voter turnout.,problem and solution
British Member of Parliament James Oglethorpe established the Georgia Colony in 1733 as a solution to stop the problem of overpopulation.,problem and solution
The factory is recalling all the cars because of a problem with the brakes.,problem and solution
One possible method to alleviate the problem of selecting the most representative activation energy is to estimate the value based on collected data.,problem and solution
It was so windy that we couldn't go sailing.,cause and effect
My sister is so shy that she hides behind my mother when there are strangers around.,cause and effect
The dress was so wonderfully designed that I couldn't take my eyes off it.,cause and effect
It's such a great movie that I've watched it several times.,cause and effect
She is such a charming woman that everybody stares at her.,cause and effect
"We stayed out all night, so we were able² to see the meteor storm pass.  ",cause and effect
"We have lots of blankets, so we will be able to keep ourselves warm",cause and effect
We had so many blankets that we were able to keep ourselves warm all night. ,cause and effect
It was such a quick meteor storm that it passed by in one week.,cause and effect
My grandfather has been mute since the stroke.,cause and effect
"Since the day I met him, my dog and I have had good chemistry.",cause and effect
He has become a quiet man since his wife's death.,cause and effect
He has had a problem with his mental state since the accident.,cause and effect
It was the worst global crisis since the Great Depression.,cause and effect
The players were given a first aid because they were injured.,problem and solution
The people were given a shekter because they were homeless.,problem and solution
She is under the umbrella because it was raining.,problem and solution
They are planting trees because of deforestation.,problem and solution
Government has banned the use of plastic because of soil pollution.,problem and solution
There is strict rule on the country because of high rate of corruption.,problem and solution
Drugs are banned because of high number of people involved in it.,problem and solution
ladies seat are seperated from boys because of molestation. ,problem and solution
The security is strict because of election fraud.,problem and solution
We are providing free education service because of low literacy rate.,problem and solution
I have bought several of the Vitality canned dog food products and have found them all to be of good quality.,descriptive
The product looks more like a stew than a processed meat and it smells better.,comparative
 My Labrador is finicky and she appreciates this product better than  most.,comparative
Product arrived labeled as Jumbo Salted Peanuts.,descriptive
The peanuts were actually small sized unsalted.,descriptive
The Strawberry Twizzlers are my guilty pleasure.,descriptive
I love eating them and they are good for watching TV and looking at movies.,descriptive
I am very satisfied with my Twizzler purchase.,descriptive
I bought these for my husband who is currently overseas.,descriptive
I can remember buying this candy as a kid and the quality hasn't dropped in all these years.,descriptive
I love this candy.,descriptive
This offer is a great price and a great taste.,descriptive
we're used to spicy foods down here in south texas and these are not at all spicy.,descriptive
I roast at home with a stove-top popcorn popper,descriptive
This bag of candy online is pretty expensive.,descriptive
"I purchased the Mango flavor, and to me it doesn't taste like Mango at all.",comparative
Maltitol is an alcohol sugar and can be undigestible in the body.,descriptive
This sweetener is not for everybody.,descriptive
I blew up like a balloon and had very painful abdominal cramping.,descriptive
These looked like a perfect snack to through in with my trail mix.,descriptive
"Unfortunately, they arrived in a solid mass of melted chocolate.",descriptive
The crust on these tarts are perfect.,descriptive
This has to be one of the best teas I have ever tasted.,comparative
I have a 4 year old male cat who has chronic urinary tract infections.,descriptive
One of my cats is allergic to fish and beef.,descriptive
This is one of the best salsas that I have found in a long time.,comparative
"The item over all was fine, but the Banana Heads are not just like Banana Runts they are alot smaller.",comparative
This lemon juice is a must in my kitchen year-round.,descriptive
I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.,comparative
The coffee is very finely processed and the flavor is just alright.,descriptive
This candy has a very good flavor.,descriptive
"The candy is tasty, but they totally scam you on the price.",descriptive
"I bought this candy for my son, who spent time in France, and came to like it.",descriptive
I have been using this product for two years now and have seen a huge difference in how my lawn looks.,descriptive
